"Source:","C:\Users\jakew\OneDrive\Documents\GitHub\EEE3088F_Project\EEE3088\EEE3088.kicad_sch"
"Date:","2023/03/14 08:11:20"
"Tool:","Eeschema (7.0.0)"
"Generator:","C:\Program Files\KiCad\7.0\bin\scripting\plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","67"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor","DNP"
"Battery-Charger1","1","TP4056","TP4056","SOP127P600X175-9N","","",""
"Battery-Holder1","1","BH-18650-PC","BH-18650-PC","BAT_BH-18650-PC","","",""
"C1, C2","2","10uF","CL10A106KP8NNNC","CAPC1608X90N","","",""
"C3, C4, C9","3","1uF","C","","Unpolarized capacitor","",""
"C5, C6","2","100nF","C","","Unpolarized capacitor","",""
"C7","1","4.7uF","C","","Unpolarized capacitor","",""
"C8","1","10nF","C","CL21B103KBANNNC","Unpolarized capacitor","",""
"D1","1","BZT52C5V1_RH","BZT52C5V1_RH","DIO_BZT52C5V1_RH","","",""
"J1","1","MICROXNJ","MICROXNJ","SHOUHAN_MICROXNJ","","",""
"J2, J3","2","Conn_01x24","Conn_01x24","","Generic connector, single row, 01x24, script generated (kicad-library-utils/schlib/autogen/connector/)","",""
"LED1","1","Red","KT-0603R","LEDC1608X70N","Red 615~630nm 1.9~2.2V 0603 Light Emitting Diodes (LED) RoHS","",""
"LED2","1","Green","19-217_GHC-YR1S2_3T","LEDC1608X50N","Standard LEDs - SMD","",""
"N-Mos1","1","AO3400A","AO3400A","SOT95P280X125-3N","30V N-Channel MOSFET","",""
"Op-Amp1","1","MCP6002T-I_SN","MCP6002T-I_SN","SOIC127P600X175-8N","Op. Amplifier Dual 1MHz Low-Power SOIC8 Microchip MCP6002T-I/SN, Dual Low Power Op Amp, 1MHz Rail-Rail, 1.8  6 V, 8-Pin SOIC","",""
"P-Mos1","1","AO3401A","AO3401A","SOT95P280X125-3N","30V P-Channel MOSFET","",""
"R1, R5, R28, R29","4","1k","0402WGF1001TCE","RESC1005X40N","1K +/-1% 1/16W +/-100ppm/ 0402 Chip Resistor","",""
"R2","1","1.2k","0603WAF1201T5E","RESC1608X55N","Chip Resistor - Surface Mount 1.2KOhms +/-1% 1/10W 0603 RoHS","",""
"R3","1","100k","1206W4F1003T5E","RESC3116X65N","Chip Resistor - Surface Mount 100KOhms +/-1% 1/4W 1206 RoHS","",""
"R4, R6, R8, R9, R10","5","0","0402WGF0000TCE","RESC1005X40N","Thick Film Resistors - SMD 0402 1/16W 1% 0R T/R-10000","",""
"R7","1","1M","0805W8F1004T5E","RESC2013X65N","Thick Film Chip Resistors 0805","",""
"R11, R12, R13, R18, R19, R20, R21","7","0","R","0402WGF0000TCE","Resistor","",""
"R14, R15, R16, R17","4","LDR03","LDR03","OptoDevice:R_LDR_10x8.5mm_P7.6mm_Vertical","light dependent resistor","",""
"R22, R23, R24, R25, R26, R27","6","10K","R","0805W8F1002T5E","Resistor","",""
"TP1, TP2, TP3, TP4, TP5, TP6, TP7, TP8, TP9, TP10, TP11, TP12","12","TestPoint","TestPoint","","test point","",""
"U1, U2","2","LTR-303ALS-01","LTR-303ALS-01","OptoDevice:Lite-On_LTR-303ALS-01","ambient light sensor, i2c interface, 0.01 to 64k lux, 2.4-3.6V","",""
"U3","1","AT24C256C-SSHL-T","AT24C256C-SSHL-T","SOIC127P600X175-8N","","",""
"U4","1","CH340G","CH340G","SOIC127P600X180-16N","","",""
"Voltage-Regulator-1, Voltage-Regulator-2","2","HT7533-1","HT7533-1","SOT89","","",""
