"Reference","Value","Datasheet","Description","Extended","Manufacturer_Part_Number","Price","Qty"
"Battery-Charger1","TP4056","https://datasheet.lcsc.com/lcsc/1809261820_TOPPOWER-Nanjing-Extension-Microelectronics-TP4056-42-ESOP8_C16581.pdf","Battery Charger","0","TP4056-42-ESOP8","0.2064","1"
"Battery-Holder1","BH-18650-PC","","","0","","0.00","1"
"C1","10uF","https://datasheet.lcsc.com/lcsc/1810191219_Samsung-Electro-Mechanics-CL10A106KP8NNNC_C19702.pdf","10uF Cap","0","CL10A106KP8NNNC","0.0066","1"
"C2","10uF","https://datasheet.lcsc.com/lcsc/1810191219_Samsung-Electro-Mechanics-CL10A106KP8NNNC_C19702.pdf","10uF Cap","0","CL10A106KP8NNNC","0.0066","1"
"C3","1uF","https://datasheet.lcsc.com/lcsc/1810191216_Samsung-Electro-Mechanics-CL21B105KBFNNNE_C28323.pdf","1uF Cap 0805","0","","0.0087","1"
"C4","1uF","https://datasheet.lcsc.com/lcsc/1810191216_Samsung-Electro-Mechanics-CL21B105KBFNNNE_C28323.pdf","1uF Cap 0805","0","","0.0087","1"
"C5","100nF","https://datasheet.lcsc.com/lcsc/2211101700_YAGEO-CC0603KRX7R9BB104_C14663.pdf","100nF Cap","0","CC0603KRX7R9BB104","0.01","1"
"C6","100nF","https://datasheet.lcsc.com/lcsc/2211101700_YAGEO-CC0603KRX7R9BB104_C14663.pdf","100nF Cap","0","CC0603KRX7R9BB104","0.01","1"
"C7","4.7uF","https://datasheet.lcsc.com/lcsc/1810261822_Samsung-Electro-Mechanics-CL21A475KAQNNNE_C1779.pdf","4.7uF","0","CL21A475KAQNNNE","0.01","1"
"C8","10nF","https://datasheet.lcsc.com/lcsc/1811151136_Samsung-Electro-Mechanics-CL21B103KBANNNC_C1710.pdf","10nF Cap","0","CL21B103KBANNNC","0.01","1"
"C9","1uF","https://datasheet.lcsc.com/lcsc/1810191216_Samsung-Electro-Mechanics-CL21B105KBFNNNE_C28323.pdf","1uF Cap 0805","0","","0.0087","1"
"D1","BZT52C5V1_RH","","","","","","1"
"J1","MICROXNJ","https://datasheet.lcsc.com/lcsc/2204151400_SHOU-HAN-MicroXNJ_C404969.pdf","USB interface","0","MicroXNJ","0.03","1"
"J2","Conn_01x24","~","","","","","1"
"J3","Conn_01x24","~","","","","","1"
"LED1","Red","https://datasheet.lcsc.com/szlcsc/Hubei-KENTO-Elec-KT-0603R_C2286.pdf","Red LED for battery charging indication","0","KT-0603R","0.0054","1"
"LED2","Green","https://www.arrow.com/en/products/19-217ghc-yr1s23t/everlight-electronics","Green LED For battery charging indication","0","19-217/GHC-YR1S2/3T","0.0264","1"
"N-Mos1","AO3400A","https://datasheet.lcsc.com/lcsc/1811081213_Alpha---Omega-Semicon-AO3400A_C20917.pdf","30V N-Channel MOSFET","0","AO3400A","0.0864","1"
"Op-Amp1","MCP6002T-I_SN","https://datasheet.lcsc.com/lcsc/1811081213_Microchip-Tech-MCP6002T-I-SN--_C7377.pdf","Op-Amp","0","MCP6002T-I/SN","0.282","1"
"P-Mos1","AO3401A","https://datasheet.lcsc.com/lcsc/1810171817_Alpha---Omega-Semicon-AO3401A_C15127.pdf","30V P-Channel MOSFET","0","AO3401A","0.0797","1"
"R1","1k","https://datasheet.lcsc.com/szlcsc/Uniroyal-Elec-0402WGF1001TCE_C11702.pdf","1k Resistor - 0402","0","0402WGF1001TCE","0.0005","1"
"R2","1.2k","https://datasheet.lcsc.com/szlcsc/Uniroyal-Elec-0603WAF1201T5E_C22765.pdf","1.2k Resistor - 0603","0","0603WAF1201T5E","0.001","1"
